frame,users,vehicles,average_user_wait_time,vehicle_availability,vehicles_depleted,vehicle_utilization
160,1,10,0.0,30.0,6,25.0
161,2,10,0.5,30.0,6,25.0
162,2,10,1.0,30.0,6,25.0
163,1,10,3.0,30.0,7,0.0
164,2,10,2.5,30.0,7,0.0
165,2,10,3.5,30.0,7,0.0
166,2,10,3.5,30.0,7,0.0
167,2,10,4.5,30.0,7,0.0
168,3,10,4.0,40.0,6,0.0
169,3,10,2.33,40.0,6,0.0
170,4,10,2.75,40.0,6,0.0
171,1,10,2.0,40.0,6,0.0
172,0,10,0,40.0,6,0.0
173,0,10,0,50.0,5,0.0
174,0,10,0,60.0,4,0.0
175,0,10,0,60.0,4,0.0
176,0,10,0,60.0,4,0.0
177,0,10,0,60.0,4,0.0
178,0,10,0,60.0,4,0.0
179,1,10,1.0,70.0,3,0.0
180,1,10,2.0,80.0,2,0.0
181,1,10,3.0,80.0,2,0.0
182,0,10,0,80.0,2,0.0
183,0,10,0,80.0,2,0.0
184,1,10,1.0,90.0,1,0.0
185,2,10,1.5,90.0,1,0.0
186,2,10,2.5,90.0,1,0.0
187,1,10,3.0,90.0,1,0.0
188,1,10,4.0,90.0,1,0.0
189,1,10,5.0,90.0,1,0.0
190,1,10,6.0,90.0,1,0.0
191,1,10,6.0,80.0,1,11.11
192,1,10,6.0,90.0,0,10.0
193,0,10,0,100.0,0,0.0
194,0,10,0,100.0,0,0.0
195,0,10,0,100.0,0,0.0
196,0,10,0,100.0,0,0.0
197,1,10,0.0,90.0,0,10.0
198,1,10,0.0,90.0,0,10.0
199,2,10,0.5,90.0,0,10.0
200,3,10,0.67,80.0,1,11.11
201,4,10,0.75,60.0,1,33.33
202,5,10,1.0,60.0,1,33.33
203,6,10,1.0,40.0,1,55.56
204,5,10,1.4,50.0,2,37.5
205,2,10,2.5,50.0,3,28.57
206,2,10,2.5,50.0,3,28.57
207,3,10,2.0,50.0,4,16.67
208,3,10,2.67,50.0,5,0.0
209,2,10,2.5,50.0,5,0.0
210,2,10,3.5,50.0,5,0.0
211,1,10,1.0,50.0,5,0.0
212,2,10,1.5,50.0,5,0.0
213,2,10,2.5,50.0,5,0.0
214,2,10,3.5,50.0,5,0.0
215,2,10,2.0,40.0,5,20.0
216,3,10,2.0,40.0,5,20.0
217,1,10,3.0,50.0,5,0.0
218,1,10,4.0,50.0,5,0.0
219,1,10,5.0,50.0,5,0.0
220,0,10,0,50.0,5,0.0
221,0,10,0,50.0,5,0.0
222,0,10,0,50.0,5,0.0
223,1,10,1.0,50.0,5,0.0
224,2,10,1.5,50.0,5,0.0
225,2,10,2.5,50.0,5,0.0
226,1,10,4.0,50.0,5,0.0
227,2,10,3.0,50.0,5,0.0
228,2,10,4.0,50.0,5,0.0
229,2,10,5.0,60.0,4,0.0
230,1,10,4.0,60.0,4,0.0
231,2,10,3.0,60.0,4,0.0
232,2,10,4.0,60.0,4,0.0
233,2,10,5.0,70.0,3,0.0
234,2,10,6.0,80.0,2,0.0
235,2,10,7.0,80.0,2,0.0
236,2,10,8.0,90.0,1,0.0
237,1,10,6.0,90.0,0,10.0
238,0,10,0,100.0,0,0.0
239,1,10,0.0,90.0,0,10.0
240,2,10,0.5,90.0,0,10.0
241,2,10,1.0,90.0,1,0.0
242,2,10,2.0,90.0,1,0.0
243,2,10,3.0,90.0,1,0.0
244,2,10,3.0,90.0,1,0.0
245,1,10,2.0,90.0,1,0.0
246,1,10,3.0,90.0,1,0.0
247,1,10,1.0,90.0,1,0.0
248,1,10,1.0,80.0,1,11.11
249,1,10,1.0,80.0,1,11.11
250,1,10,1.0,80.0,1,11.11
251,1,10,1.0,80.0,1,11.11
252,1,10,1.0,80.0,2,0.0
253,1,10,2.0,80.0,2,0.0
254,0,10,0,80.0,2,0.0
255,0,10,0,80.0,2,0.0
256,0,10,0,80.0,2,0.0
257,1,10,1.0,80.0,2,0.0
258,0,10,0,80.0,2,0.0
259,0,10,0,80.0,2,0.0
260,0,10,0,80.0,2,0.0
261,0,10,0,80.0,2,0.0
262,0,10,0,80.0,2,0.0
263,0,10,0,80.0,2,0.0
264,0,10,0,80.0,2,0.0
