frame,users,vehicles,average_user_wait_time,vehicle_availability,vehicles_depleted,vehicle_utilization
0,1,10,0.0,90.0,0,10.0
1,2,10,0.5,90.0,0,10.0
2,3,10,0.67,80.0,0,20.0
3,3,10,1.33,90.0,0,10.0
4,3,10,2.0,90.0,0,10.0
5,2,10,2.0,100.0,0,0.0
6,0,10,0,100.0,0,0.0
7,0,10,0,100.0,0,0.0
8,0,10,0,100.0,0,0.0
9,0,10,0,100.0,0,0.0
10,0,10,0,100.0,0,0.0
11,0,10,0,100.0,0,0.0
12,0,10,0,100.0,0,0.0
13,0,10,0,100.0,0,0.0
14,0,10,0,100.0,0,0.0
15,0,10,0,100.0,0,0.0
16,1,10,1.0,100.0,0,0.0
17,1,10,2.0,100.0,0,0.0
18,1,10,3.0,100.0,0,0.0
19,1,10,4.0,100.0,0,0.0
20,0,10,0,100.0,0,0.0
21,1,10,1.0,100.0,0,0.0
22,1,10,2.0,100.0,0,0.0
23,2,10,1.5,90.0,0,10.0
24,1,10,0.0,90.0,0,10.0
25,1,10,0.0,90.0,0,10.0
26,1,10,0.0,90.0,0,10.0
27,1,10,1.0,90.0,1,0.0
28,2,10,1.5,90.0,1,0.0
29,2,10,2.0,80.0,1,11.11
30,1,10,1.0,80.0,1,11.11
31,1,10,1.0,80.0,1,11.11
32,1,10,1.0,80.0,1,11.11
33,1,10,1.0,80.0,2,0.0
34,0,10,0,80.0,2,0.0
35,0,10,0,80.0,2,0.0
36,0,10,0,80.0,2,0.0
37,1,10,1.0,80.0,2,0.0
38,1,10,2.0,80.0,2,0.0
39,2,10,1.5,70.0,2,12.5
40,3,10,1.33,60.0,2,25.0
41,2,10,2.5,70.0,2,12.5
42,1,10,6.0,80.0,2,0.0
43,1,10,7.0,80.0,2,0.0
44,1,10,8.0,80.0,2,0.0
45,1,10,1.0,80.0,2,0.0
46,1,10,2.0,80.0,2,0.0
47,1,10,3.0,80.0,2,0.0
48,1,10,4.0,80.0,2,0.0
49,0,10,0,80.0,2,0.0
50,1,10,0.0,70.0,2,12.5
51,1,10,0.0,70.0,3,0.0
52,2,10,1.0,70.0,3,0.0
53,2,10,2.0,70.0,3,0.0
54,1,10,3.0,70.0,3,0.0
55,2,10,2.5,70.0,3,0.0
56,2,10,3.5,80.0,2,0.0
57,1,10,1.0,80.0,2,0.0
58,0,10,0,80.0,2,0.0
59,1,10,1.0,80.0,2,0.0
60,1,10,2.0,80.0,2,0.0
61,1,10,3.0,80.0,2,0.0
62,1,10,4.0,90.0,1,0.0
63,2,10,3.0,90.0,1,0.0
64,1,10,6.0,90.0,1,0.0
65,1,10,1.0,90.0,1,0.0
66,1,10,2.0,90.0,1,0.0
67,1,10,3.0,90.0,1,0.0
68,1,10,4.0,90.0,1,0.0
69,2,10,3.0,90.0,1,0.0
70,2,10,3.5,80.0,1,11.11
71,1,10,3.0,90.0,1,0.0
72,1,10,3.0,80.0,2,0.0
73,2,10,2.5,80.0,2,0.0
74,2,10,1.5,80.0,2,0.0
75,2,10,2.5,80.0,2,0.0
76,2,10,3.5,80.0,2,0.0
77,1,10,5.0,80.0,2,0.0
78,2,10,3.5,80.0,2,0.0
79,2,10,4.5,80.0,2,0.0
80,2,10,5.5,90.0,1,0.0
81,1,10,4.0,90.0,1,0.0
82,2,10,2.5,80.0,1,11.11
83,2,10,3.0,80.0,1,11.11
84,2,10,3.5,80.0,1,11.11
85,1,10,4.0,90.0,1,0.0
86,0,10,0,90.0,1,0.0
87,0,10,0,90.0,1,0.0
88,1,10,1.0,90.0,1,0.0
89,1,10,2.0,90.0,1,0.0
90,0,10,0,90.0,1,0.0
91,0,10,0,90.0,1,0.0
92,1,10,1.0,90.0,1,0.0
93,2,10,1.0,80.0,1,11.11
94,2,10,1.5,80.0,1,11.11
95,2,10,2.0,80.0,2,0.0
96,2,10,3.0,80.0,2,0.0
97,2,10,4.0,80.0,2,0.0
98,2,10,5.0,80.0,2,0.0
99,2,10,4.5,80.0,2,0.0
100,2,10,5.5,80.0,2,0.0
101,1,10,3.0,90.0,1,0.0
102,2,10,2.5,90.0,1,0.0
103,2,10,3.0,90.0,1,0.0
104,1,10,2.0,90.0,1,0.0
105,1,10,2.0,80.0,2,0.0
106,1,10,2.0,70.0,2,12.5
107,2,10,1.5,70.0,2,12.5
108,3,10,1.67,70.0,2,12.5
109,3,10,2.33,70.0,2,12.5
110,2,10,3.0,70.0,3,0.0
111,2,10,4.0,70.0,3,0.0
112,2,10,2.5,70.0,3,0.0
113,1,10,2.0,70.0,3,0.0
114,1,10,3.0,70.0,3,0.0
115,1,10,1.0,70.0,3,0.0
116,2,10,1.5,70.0,3,0.0
117,2,10,2.5,70.0,3,0.0
118,2,10,2.5,70.0,3,0.0
119,3,10,2.67,70.0,3,0.0
120,2,10,2.0,60.0,3,14.29
121,2,10,2.5,60.0,4,0.0
122,2,10,3.0,50.0,5,0.0
123,2,10,3.0,50.0,5,0.0
124,3,10,3.0,60.0,4,0.0
125,2,10,2.0,50.0,4,16.67
126,1,10,3.0,60.0,4,0.0
127,0,10,0,60.0,4,0.0
128,0,10,0,60.0,4,0.0
129,0,10,0,60.0,4,0.0
130,0,10,0,60.0,4,0.0
131,0,10,0,60.0,4,0.0
132,0,10,0,60.0,4,0.0
133,0,10,0,60.0,4,0.0
134,0,10,0,70.0,3,0.0
135,0,10,0,70.0,3,0.0
136,1,10,0.0,60.0,3,14.29
137,1,10,0.0,60.0,3,14.29
138,1,10,0.0,60.0,3,14.29
139,0,10,0,80.0,2,0.0
140,1,10,1.0,80.0,2,0.0
141,0,10,0,80.0,2,0.0
142,0,10,0,80.0,2,0.0
143,0,10,0,80.0,2,0.0
144,1,10,0.0,70.0,2,12.5
145,2,10,0.0,60.0,2,25.0
146,3,10,0.33,60.0,2,25.0
147,3,10,0.67,60.0,3,14.29
148,3,10,1.33,60.0,4,0.0
149,3,10,2.0,50.0,5,0.0
150,3,10,3.0,60.0,4,0.0
151,3,10,4.0,70.0,3,0.0
152,2,10,4.0,70.0,3,0.0
153,1,10,2.0,70.0,3,0.0
154,1,10,2.0,60.0,3,14.29
155,1,10,1.0,70.0,3,0.0
156,1,10,1.0,70.0,3,0.0
157,2,10,1.5,70.0,3,0.0
158,2,10,2.5,70.0,3,0.0
159,3,10,2.33,60.0,3,14.29
160,3,10,2.67,60.0,3,14.29
161,2,10,4.0,70.0,3,0.0
162,0,10,0,70.0,3,0.0
163,0,10,0,70.0,3,0.0
164,0,10,0,70.0,3,0.0
165,0,10,0,70.0,3,0.0
166,0,10,0,70.0,3,0.0
167,1,10,1.0,70.0,3,0.0
168,1,10,2.0,70.0,3,0.0
169,1,10,3.0,70.0,3,0.0
170,1,10,4.0,70.0,3,0.0
171,1,10,5.0,70.0,3,0.0
172,1,10,6.0,70.0,3,0.0
173,2,10,3.5,60.0,3,14.29
174,1,10,0.0,60.0,4,0.0
175,0,10,0,60.0,4,0.0
176,0,10,0,70.0,3,0.0
177,0,10,0,80.0,2,0.0
178,1,10,1.0,90.0,1,0.0
179,1,10,2.0,90.0,1,0.0
180,1,10,3.0,90.0,1,0.0
181,1,10,1.0,90.0,1,0.0
182,2,10,1.5,90.0,1,0.0
183,3,10,2.0,90.0,1,0.0
184,3,10,3.0,90.0,1,0.0
185,2,10,4.5,90.0,1,0.0
186,1,10,5.0,90.0,1,0.0
187,1,10,6.0,90.0,1,0.0
188,0,10,0,90.0,1,0.0
189,0,10,0,90.0,1,0.0
190,1,10,1.0,90.0,1,0.0
191,0,10,0,90.0,1,0.0
192,0,10,0,90.0,1,0.0
193,1,10,1.0,90.0,1,0.0
194,1,10,2.0,90.0,1,0.0
195,1,10,3.0,90.0,1,0.0
196,1,10,4.0,90.0,1,0.0
197,0,10,0,90.0,1,0.0
198,1,10,1.0,90.0,1,0.0
199,1,10,1.0,80.0,1,11.11
200,2,10,1.0,80.0,1,11.11
201,1,10,1.0,80.0,1,11.11
202,1,10,1.0,80.0,1,11.11
203,2,10,1.0,90.0,1,0.0
204,2,10,1.5,80.0,1,11.11
205,1,10,3.0,90.0,1,0.0
206,2,10,2.5,90.0,1,0.0
207,2,10,1.5,90.0,1,0.0
208,3,10,2.0,90.0,1,0.0
209,2,10,2.5,90.0,1,0.0
210,2,10,3.5,90.0,1,0.0
211,3,10,3.33,90.0,1,0.0
212,4,10,3.25,80.0,1,11.11
213,3,10,3.67,90.0,1,0.0
214,4,10,3.25,70.0,1,22.22
215,4,10,2.0,70.0,1,22.22
216,5,10,2.0,60.0,2,25.0
217,4,10,2.5,70.0,3,0.0
218,3,10,2.0,70.0,3,0.0
219,1,10,4.0,70.0,3,0.0
220,2,10,3.0,70.0,3,0.0
221,1,10,2.0,70.0,3,0.0
222,2,10,1.5,60.0,3,14.29
223,2,10,2.0,60.0,4,0.0
224,2,10,3.0,60.0,4,0.0
225,1,10,4.0,60.0,4,0.0
226,1,10,5.0,60.0,4,0.0
227,1,10,6.0,60.0,4,0.0
228,2,10,4.0,60.0,4,0.0
229,3,10,3.33,50.0,5,0.0
230,2,10,2.5,50.0,5,0.0
231,2,10,2.0,50.0,5,0.0
232,2,10,3.0,60.0,4,0.0
233,2,10,4.0,60.0,4,0.0
234,1,10,4.0,60.0,4,0.0
235,1,10,5.0,60.0,4,0.0
236,1,10,0.0,50.0,5,0.0
237,1,10,1.0,50.0,5,0.0
238,1,10,1.0,40.0,5,20.0
239,1,10,1.0,40.0,5,20.0
240,1,10,1.0,40.0,5,20.0
241,1,10,1.0,40.0,6,0.0
242,1,10,2.0,40.0,6,0.0
243,2,10,2.0,40.0,6,0.0
244,2,10,3.0,40.0,6,0.0
245,3,10,3.0,50.0,5,0.0
246,2,10,3.0,60.0,4,0.0
247,2,10,4.0,60.0,4,0.0
248,3,10,3.33,50.0,4,16.67
249,3,10,4.0,50.0,4,16.67
250,1,10,0.0,50.0,4,16.67
251,0,10,0,60.0,4,0.0
252,0,10,0,70.0,3,0.0
253,0,10,0,70.0,3,0.0
254,1,10,0.0,60.0,3,14.29
255,2,10,0.0,50.0,4,16.67
256,1,10,0.0,50.0,4,16.67
257,1,10,0.0,50.0,5,0.0
258,1,10,1.0,60.0,4,0.0
259,2,10,1.0,50.0,4,16.67
260,1,10,1.0,60.0,4,0.0
261,1,10,2.0,60.0,4,0.0
262,1,10,3.0,60.0,4,0.0
263,0,10,0,60.0,4,0.0
264,1,10,1.0,60.0,4,0.0
265,1,10,1.0,70.0,3,0.0
266,2,10,1.5,70.0,3,0.0
267,3,10,2.0,70.0,3,0.0
268,4,10,2.0,50.0,3,28.57
269,3,10,2.0,50.0,4,16.67
270,2,10,2.5,70.0,3,0.0
271,1,10,5.0,70.0,3,0.0
272,1,10,6.0,70.0,3,0.0
273,1,10,1.0,70.0,3,0.0
274,1,10,2.0,70.0,3,0.0
275,0,10,0,70.0,3,0.0
276,0,10,0,70.0,3,0.0
277,0,10,0,70.0,3,0.0
278,1,10,1.0,70.0,3,0.0
279,1,10,2.0,70.0,3,0.0
280,1,10,2.0,60.0,3,14.29
281,2,10,1.5,60.0,3,14.29
282,3,10,1.33,50.0,3,28.57
283,3,10,1.33,60.0,3,14.29
284,3,10,1.0,70.0,2,12.5
285,4,10,1.5,70.0,2,12.5
286,4,10,1.75,60.0,2,25.0
287,4,10,2.0,50.0,2,37.5
288,3,10,2.33,60.0,4,0.0
289,4,10,2.75,60.0,4,0.0
290,1,10,2.0,60.0,4,0.0
291,1,10,3.0,60.0,4,0.0
292,1,10,1.0,60.0,4,0.0
293,1,10,2.0,60.0,4,0.0
294,1,10,3.0,60.0,4,0.0
295,0,10,0,60.0,4,0.0
296,1,10,1.0,60.0,4,0.0
297,1,10,2.0,60.0,4,0.0
298,1,10,3.0,70.0,3,0.0
299,1,10,4.0,70.0,3,0.0
300,0,10,0,70.0,3,0.0
