frame,users,vehicles,average_user_wait_time,vehicle_availability,vehicles_depleted,vehicle_utilization
160,1,10,0.0,70.0,3,0.0
161,1,10,0.0,60.0,3,14.29
162,0,10,0,70.0,3,0.0
163,0,10,0,70.0,3,0.0
164,0,10,0,70.0,3,0.0
165,0,10,0,70.0,3,0.0
166,0,10,0,70.0,3,0.0
167,0,10,0,70.0,3,0.0
168,0,10,0,70.0,3,0.0
169,0,10,0,70.0,3,0.0
170,1,10,0.0,60.0,3,14.29
171,1,10,0.0,60.0,3,14.29
172,1,10,0.0,60.0,3,14.29
173,1,10,0.0,60.0,3,14.29
174,1,10,0.0,60.0,4,0.0
175,1,10,1.0,60.0,4,0.0
176,1,10,2.0,60.0,4,0.0
177,1,10,3.0,60.0,4,0.0
178,2,10,2.5,60.0,4,0.0
179,2,10,1.0,50.0,4,16.67
180,2,10,1.5,50.0,4,16.67
181,2,10,2.0,50.0,4,16.67
182,1,10,1.0,60.0,4,0.0
183,1,10,2.0,60.0,4,0.0
184,1,10,3.0,60.0,4,0.0
185,2,10,2.5,60.0,4,0.0
186,2,10,3.5,60.0,4,0.0
187,1,10,6.0,70.0,3,0.0
188,2,10,4.0,80.0,2,0.0
189,2,10,5.0,90.0,1,0.0
190,3,10,4.33,90.0,1,0.0
191,2,10,2.5,80.0,1,11.11
192,2,10,3.0,80.0,1,11.11
193,2,10,3.5,80.0,1,11.11
194,0,10,0,80.0,2,0.0
195,0,10,0,80.0,2,0.0
196,1,10,1.0,80.0,2,0.0
197,2,10,1.5,80.0,2,0.0
198,1,10,3.0,80.0,2,0.0
199,1,10,4.0,80.0,2,0.0
200,1,10,5.0,80.0,2,0.0
201,1,10,6.0,80.0,2,0.0
202,1,10,6.0,70.0,2,12.5
203,2,10,3.0,70.0,1,22.22
204,1,10,0.0,80.0,1,11.11
205,0,10,0,90.0,1,0.0
206,1,10,1.0,90.0,1,0.0
207,1,10,2.0,90.0,1,0.0
208,2,10,2.0,90.0,1,0.0
209,0,10,0,90.0,1,0.0
210,1,10,1.0,90.0,1,0.0
211,1,10,2.0,90.0,1,0.0
212,1,10,3.0,90.0,1,0.0
213,2,10,2.0,80.0,2,0.0
214,3,10,2.33,80.0,2,0.0
215,3,10,2.67,60.0,2,25.0
216,3,10,3.0,60.0,2,25.0
217,3,10,3.33,60.0,2,25.0
218,1,10,1.0,70.0,2,12.5
219,1,10,1.0,70.0,3,0.0
220,1,10,1.0,70.0,3,0.0
221,0,10,0,70.0,3,0.0
222,0,10,0,70.0,3,0.0
223,0,10,0,80.0,2,0.0
224,0,10,0,80.0,2,0.0
225,0,10,0,80.0,2,0.0
