frame,users,vehicles,average_user_wait_time,vehicle_availability,vehicles_depleted,vehicle_utilization
0,0,10,0,100.0,0,0.0
1,0,10,0,100.0,0,0.0
2,0,10,0,100.0,0,0.0
3,1,10,1.0,100.0,0,0.0
4,1,10,2.0,100.0,0,0.0
5,2,10,2.0,100.0,0,0.0
6,2,10,3.0,100.0,0,0.0
7,3,10,3.0,100.0,0,0.0
8,3,10,4.0,100.0,0,0.0
9,4,10,4.0,100.0,0,0.0
10,5,10,4.0,90.0,0,10.0
11,5,10,4.6,80.0,0,20.0
12,5,10,5.2,80.0,0,20.0
13,3,10,3.67,90.0,0,10.0
14,3,10,3.0,90.0,1,0.0
15,2,10,2.5,90.0,1,0.0
16,2,10,3.0,80.0,1,11.11
17,2,10,2.0,80.0,1,11.11
18,2,10,2.5,80.0,1,11.11
19,1,10,2.0,80.0,1,11.11
20,1,10,2.0,80.0,2,0.0
21,1,10,2.0,70.0,3,0.0
22,1,10,3.0,70.0,3,0.0
23,1,10,1.0,70.0,3,0.0
24,1,10,2.0,70.0,3,0.0
25,1,10,3.0,70.0,3,0.0
26,0,10,0,70.0,3,0.0
27,0,10,0,70.0,3,0.0
28,0,10,0,70.0,3,0.0
29,0,10,0,70.0,3,0.0
30,0,10,0,70.0,3,0.0
31,1,10,1.0,70.0,3,0.0
32,1,10,2.0,70.0,3,0.0
33,1,10,3.0,70.0,3,0.0
34,0,10,0,70.0,3,0.0
35,0,10,0,70.0,3,0.0
36,1,10,1.0,70.0,3,0.0
37,1,10,1.0,60.0,3,14.29
38,0,10,0,70.0,3,0.0
39,0,10,0,70.0,3,0.0
40,0,10,0,70.0,3,0.0
41,0,10,0,70.0,3,0.0
42,0,10,0,70.0,3,0.0
43,0,10,0,80.0,2,0.0
44,0,10,0,80.0,2,0.0
45,0,10,0,80.0,2,0.0
46,0,10,0,80.0,2,0.0
47,1,10,0.0,70.0,2,12.5
48,0,10,0,80.0,2,0.0
49,1,10,0.0,80.0,1,11.11
50,1,10,0.0,90.0,0,10.0
51,1,10,0.0,90.0,0,10.0
52,0,10,0,100.0,0,0.0
53,0,10,0,100.0,0,0.0
54,1,10,1.0,100.0,0,0.0
55,1,10,2.0,100.0,0,0.0
56,1,10,2.0,90.0,1,0.0
57,2,10,1.5,80.0,1,11.11
58,1,10,2.0,90.0,1,0.0
59,1,10,2.0,80.0,1,11.11
60,2,10,1.0,70.0,1,22.22
61,2,10,1.0,70.0,2,12.5
62,1,10,0.0,70.0,2,12.5
63,1,10,0.0,70.0,2,12.5
64,2,10,0.5,70.0,3,0.0
65,1,10,2.0,70.0,3,0.0
66,2,10,2.0,70.0,3,0.0
67,2,10,3.0,70.0,3,0.0
68,2,10,4.0,70.0,3,0.0
69,2,10,4.5,60.0,3,14.29
70,1,10,5.0,60.0,3,14.29
71,1,10,5.0,60.0,3,14.29
72,1,10,5.0,60.0,3,14.29
73,1,10,1.0,60.0,4,0.0
74,1,10,2.0,60.0,4,0.0
75,0,10,0,60.0,4,0.0
76,0,10,0,60.0,4,0.0
77,0,10,0,60.0,4,0.0
78,0,10,0,60.0,4,0.0
79,1,10,1.0,60.0,4,0.0
80,1,10,1.0,50.0,4,16.67
81,1,10,1.0,50.0,4,16.67
82,1,10,1.0,50.0,4,16.67
83,1,10,1.0,50.0,4,16.67
84,1,10,1.0,50.0,5,0.0
85,1,10,2.0,60.0,4,0.0
86,1,10,3.0,60.0,4,0.0
87,2,10,2.5,60.0,4,0.0
88,1,10,5.0,60.0,4,0.0
89,0,10,0,60.0,4,0.0
90,0,10,0,70.0,3,0.0
91,0,10,0,70.0,3,0.0
92,0,10,0,70.0,3,0.0
93,0,10,0,80.0,2,0.0
94,0,10,0,80.0,2,0.0
95,0,10,0,80.0,2,0.0
96,1,10,1.0,80.0,2,0.0
97,1,10,2.0,80.0,2,0.0
98,1,10,3.0,80.0,2,0.0
99,1,10,4.0,80.0,2,0.0
100,1,10,5.0,80.0,2,0.0
101,1,10,6.0,80.0,2,0.0
102,1,10,7.0,90.0,1,0.0
103,2,10,4.5,90.0,1,0.0
