frame,users,vehicles,average_user_wait_time,vehicle_availability,vehicles_depleted,vehicle_utilization
160,0,10,0,70.0,3,0.0
161,0,10,0,70.0,3,0.0
162,1,10,1.0,70.0,3,0.0
163,2,10,1.5,80.0,2,0.0
164,1,10,1.0,80.0,2,0.0
165,1,10,2.0,80.0,2,0.0
166,1,10,1.0,80.0,2,0.0
167,1,10,2.0,80.0,2,0.0
168,1,10,3.0,80.0,2,0.0
169,1,10,4.0,80.0,2,0.0
170,1,10,4.0,70.0,2,12.5
171,1,10,4.0,70.0,2,12.5
172,1,10,4.0,70.0,2,12.5
173,1,10,4.0,70.0,3,0.0
174,0,10,0,70.0,3,0.0
175,0,10,0,70.0,3,0.0
176,0,10,0,70.0,3,0.0
177,0,10,0,70.0,3,0.0
178,1,10,1.0,70.0,3,0.0
179,1,10,2.0,70.0,3,0.0
180,1,10,3.0,70.0,3,0.0
181,1,10,3.0,60.0,3,14.29
182,1,10,3.0,70.0,2,12.5
183,1,10,3.0,70.0,2,12.5
184,2,10,2.0,70.0,2,12.5
185,2,10,2.5,70.0,3,0.0
186,2,10,3.5,70.0,3,0.0
187,1,10,4.0,80.0,2,0.0
188,2,10,2.5,70.0,2,12.5
189,3,10,2.33,70.0,2,12.5
190,2,10,0.5,60.0,2,25.0
191,1,10,1.0,70.0,2,12.5
192,1,10,1.0,70.0,2,12.5
193,1,10,1.0,70.0,2,12.5
194,1,10,1.0,70.0,3,0.0
195,2,10,1.5,70.0,3,0.0
196,2,10,1.5,70.0,3,0.0
197,2,10,2.5,70.0,3,0.0
198,2,10,3.5,70.0,3,0.0
199,3,10,3.33,70.0,3,0.0
200,4,10,3.5,70.0,3,0.0
201,3,10,5.0,60.0,3,14.29
202,2,10,5.0,60.0,3,14.29
203,1,10,5.0,70.0,3,0.0
204,1,10,5.0,60.0,3,14.29
205,1,10,5.0,60.0,3,14.29
206,2,10,3.0,60.0,3,14.29
207,1,10,2.0,70.0,3,0.0
208,1,10,2.0,60.0,3,14.29
209,1,10,2.0,60.0,3,14.29
210,1,10,2.0,60.0,3,14.29
211,1,10,2.0,60.0,3,14.29
212,2,10,1.5,60.0,4,0.0
213,1,10,1.0,50.0,5,0.0
214,1,10,2.0,60.0,4,0.0
215,1,10,3.0,60.0,4,0.0
216,2,10,2.5,60.0,4,0.0
217,2,10,3.5,60.0,4,0.0
218,1,10,6.0,60.0,4,0.0
219,2,10,4.0,60.0,4,0.0
220,3,10,3.33,50.0,4,16.67
221,2,10,5.0,50.0,4,16.67
222,0,10,0,60.0,4,0.0
223,1,10,1.0,70.0,3,0.0
224,1,10,2.0,70.0,3,0.0
225,2,10,2.0,70.0,3,0.0
226,2,10,3.0,70.0,3,0.0
227,2,10,4.0,70.0,3,0.0
228,1,10,4.0,70.0,3,0.0
229,0,10,0,70.0,3,0.0
230,0,10,0,70.0,3,0.0
231,0,10,0,80.0,2,0.0
232,1,10,0.0,70.0,2,12.5
233,1,10,0.0,70.0,3,0.0
234,1,10,1.0,70.0,3,0.0
235,2,10,1.5,70.0,3,0.0
236,3,10,2.0,70.0,3,0.0
237,2,10,2.5,60.0,3,14.29
238,2,10,3.0,60.0,3,14.29
239,2,10,1.0,60.0,3,14.29
240,2,10,1.5,60.0,4,0.0
241,1,10,1.0,60.0,4,0.0
242,1,10,2.0,70.0,3,0.0
243,2,10,2.0,70.0,3,0.0
244,2,10,3.0,70.0,3,0.0
245,2,10,4.0,70.0,3,0.0
246,2,10,5.0,70.0,3,0.0
247,1,10,5.0,70.0,3,0.0
248,0,10,0,70.0,3,0.0
249,0,10,0,70.0,3,0.0
250,0,10,0,70.0,3,0.0
251,0,10,0,70.0,3,0.0
252,1,10,1.0,70.0,3,0.0
253,1,10,2.0,70.0,3,0.0
254,1,10,3.0,70.0,3,0.0
255,1,10,4.0,70.0,3,0.0
256,1,10,5.0,70.0,3,0.0
257,1,10,1.0,70.0,3,0.0
258,1,10,2.0,70.0,3,0.0
259,1,10,2.0,60.0,4,0.0
260,1,10,3.0,60.0,4,0.0
261,0,10,0,60.0,4,0.0
262,0,10,0,70.0,3,0.0
263,0,10,0,70.0,3,0.0
264,0,10,0,70.0,3,0.0
265,1,10,1.0,70.0,3,0.0
266,1,10,2.0,70.0,3,0.0
267,1,10,3.0,70.0,3,0.0
268,2,10,2.5,70.0,3,0.0
269,2,10,3.0,70.0,2,12.5
270,2,10,3.5,80.0,1,11.11
271,2,10,2.0,70.0,1,22.22
272,1,10,0.0,80.0,1,11.11
273,1,10,0.0,80.0,1,11.11
274,1,10,0.0,80.0,1,11.11
275,1,10,0.0,80.0,2,0.0
276,1,10,1.0,80.0,2,0.0
277,0,10,0,80.0,2,0.0
278,0,10,0,80.0,2,0.0
279,1,10,1.0,80.0,2,0.0
280,1,10,2.0,80.0,2,0.0
281,2,10,2.0,80.0,2,0.0
282,1,10,2.0,80.0,2,0.0
283,2,10,2.0,80.0,2,0.0
284,2,10,2.5,70.0,3,0.0
285,2,10,3.5,70.0,3,0.0
286,3,10,3.33,70.0,3,0.0
287,3,10,4.33,70.0,3,0.0
288,2,10,4.0,80.0,2,0.0
289,2,10,4.5,70.0,2,12.5
290,2,10,4.0,80.0,2,0.0
