frame,users,vehicles,average_user_wait_time,vehicle_availability,vehicles_depleted,vehicle_utilization
0,0,10,0,100.0,0,0.0
1,1,10,1.0,100.0,0,0.0
2,1,10,2.0,100.0,0,0.0
3,2,10,2.0,100.0,0,0.0
4,2,10,3.0,100.0,0,0.0
5,2,10,4.0,100.0,0,0.0
6,2,10,2.5,100.0,0,0.0
7,2,10,3.0,100.0,0,0.0
8,1,10,2.0,100.0,0,0.0
9,0,10,0,100.0,0,0.0
10,0,10,0,100.0,0,0.0
11,0,10,0,100.0,0,0.0
12,0,10,0,100.0,0,0.0
13,0,10,0,100.0,0,0.0
14,0,10,0,100.0,0,0.0
15,0,10,0,100.0,0,0.0
16,0,10,0,100.0,0,0.0
17,0,10,0,100.0,0,0.0
18,1,10,1.0,100.0,0,0.0
19,1,10,2.0,100.0,0,0.0
20,1,10,3.0,100.0,0,0.0
21,1,10,4.0,100.0,0,0.0
22,1,10,5.0,100.0,0,0.0
23,0,10,0,100.0,0,0.0
24,0,10,0,100.0,0,0.0
25,0,10,0,100.0,0,0.0
26,1,10,1.0,100.0,0,0.0
27,1,10,2.0,100.0,0,0.0
28,1,10,3.0,100.0,0,0.0
29,1,10,4.0,100.0,0,0.0
30,0,10,0,100.0,0,0.0
31,0,10,0,100.0,0,0.0
32,0,10,0,100.0,0,0.0
33,0,10,0,100.0,0,0.0
34,0,10,0,100.0,0,0.0
35,0,10,0,100.0,0,0.0
36,0,10,0,100.0,0,0.0
37,0,10,0,100.0,0,0.0
38,0,10,0,100.0,0,0.0
39,0,10,0,100.0,0,0.0
40,0,10,0,100.0,0,0.0
41,0,10,0,100.0,0,0.0
42,0,10,0,100.0,0,0.0
43,0,10,0,100.0,0,0.0
44,0,10,0,100.0,0,0.0
45,0,10,0,100.0,0,0.0
46,0,10,0,100.0,0,0.0
47,0,10,0,100.0,0,0.0
48,0,10,0,100.0,0,0.0
49,1,10,1.0,100.0,0,0.0
50,1,10,2.0,100.0,0,0.0
51,1,10,2.0,90.0,0,10.0
52,1,10,2.0,90.0,0,10.0
53,1,10,2.0,90.0,0,10.0
54,0,10,0,100.0,0,0.0
55,0,10,0,100.0,0,0.0
56,0,10,0,100.0,0,0.0
57,0,10,0,100.0,0,0.0
58,0,10,0,100.0,0,0.0
59,0,10,0,100.0,0,0.0
60,1,10,1.0,100.0,0,0.0
61,1,10,2.0,100.0,0,0.0
62,1,10,3.0,100.0,0,0.0
63,0,10,0,100.0,0,0.0
64,0,10,0,100.0,0,0.0
65,0,10,0,100.0,0,0.0
66,0,10,0,100.0,0,0.0
67,0,10,0,100.0,0,0.0
68,1,10,1.0,100.0,0,0.0
69,1,10,2.0,100.0,0,0.0
70,1,10,2.0,90.0,1,0.0
71,2,10,1.5,80.0,1,11.11
72,2,10,2.0,80.0,1,11.11
73,2,10,2.5,80.0,1,11.11
74,2,10,3.0,80.0,1,11.11
75,0,10,0,80.0,2,0.0
76,0,10,0,80.0,2,0.0
77,0,10,0,80.0,2,0.0
78,0,10,0,80.0,2,0.0
79,0,10,0,80.0,2,0.0
80,0,10,0,80.0,2,0.0
81,0,10,0,80.0,2,0.0
82,0,10,0,80.0,2,0.0
83,0,10,0,80.0,2,0.0
84,0,10,0,80.0,2,0.0
85,0,10,0,80.0,2,0.0
86,0,10,0,80.0,2,0.0
87,0,10,0,80.0,2,0.0
88,0,10,0,80.0,2,0.0
89,0,10,0,80.0,2,0.0
90,1,10,1.0,80.0,2,0.0
91,1,10,2.0,80.0,2,0.0
92,1,10,3.0,80.0,2,0.0
93,2,10,2.5,80.0,2,0.0
94,3,10,2.67,80.0,2,0.0
95,3,10,3.67,80.0,2,0.0
96,2,10,3.5,80.0,2,0.0
97,2,10,4.5,80.0,2,0.0
98,2,10,5.5,80.0,2,0.0
99,2,10,6.5,90.0,1,0.0
100,2,10,7.5,90.0,1,0.0
101,1,10,9.0,90.0,1,0.0
102,0,10,0,90.0,1,0.0
103,1,10,1.0,90.0,1,0.0
104,1,10,2.0,100.0,0,0.0
105,1,10,3.0,100.0,0,0.0
106,0,10,0,100.0,0,0.0
107,1,10,1.0,100.0,0,0.0
108,1,10,2.0,100.0,0,0.0
109,2,10,1.5,90.0,0,10.0
110,3,10,1.67,90.0,0,10.0
111,2,10,3.0,90.0,0,10.0
112,1,10,1.0,90.0,0,10.0
113,2,10,1.0,90.0,0,10.0
114,2,10,1.5,90.0,0,10.0
115,1,10,3.0,90.0,1,0.0
116,2,10,2.5,90.0,1,0.0
117,1,10,2.0,90.0,1,0.0
118,2,10,2.0,90.0,1,0.0
119,2,10,2.5,80.0,1,11.11
120,2,10,3.0,80.0,1,11.11
121,2,10,3.5,80.0,1,11.11
122,2,10,4.0,80.0,1,11.11
123,1,10,3.0,80.0,2,0.0
124,0,10,0,80.0,2,0.0
125,1,10,1.0,80.0,2,0.0
126,1,10,2.0,80.0,2,0.0
127,1,10,1.0,80.0,2,0.0
128,2,10,1.5,80.0,2,0.0
129,3,10,2.0,80.0,2,0.0
130,3,10,2.67,70.0,2,12.5
131,3,10,3.0,60.0,2,25.0
132,3,10,3.33,60.0,3,14.29
133,3,10,4.0,60.0,3,14.29
134,3,10,2.67,60.0,4,0.0
135,2,10,3.0,60.0,4,0.0
136,1,10,3.0,60.0,4,0.0
