frame,users,vehicles,average_user_wait_time,vehicle_availability,vehicles_depleted,vehicle_utilization
0,0,10,0,100.0,0,0.0
1,1,10,1.0,100.0,0,0.0
2,1,10,2.0,100.0,0,0.0
3,2,10,1.5,90.0,0,10.0
4,3,10,1.33,80.0,0,20.0
5,3,10,1.33,70.0,0,30.0
6,3,10,1.33,70.0,0,30.0
7,3,10,1.33,70.0,1,22.22
8,2,10,2.5,70.0,2,12.5
9,2,10,3.0,70.0,3,0.0
10,0,10,0,70.0,3,0.0
11,0,10,0,70.0,3,0.0
12,0,10,0,70.0,3,0.0
13,0,10,0,70.0,3,0.0
14,1,10,1.0,70.0,3,0.0
15,2,10,1.5,70.0,3,0.0
16,3,10,2.0,70.0,3,0.0
17,3,10,3.0,70.0,3,0.0
18,4,10,3.25,70.0,3,0.0
19,3,10,3.67,70.0,3,0.0
20,3,10,4.67,70.0,3,0.0
21,4,10,4.5,70.0,3,0.0
22,4,10,3.5,60.0,3,14.29
23,3,10,3.67,60.0,3,14.29
24,2,10,2.0,60.0,3,14.29
25,2,10,2.5,60.0,3,14.29
26,2,10,2.5,50.0,4,16.67
27,1,10,1.0,60.0,4,0.0
28,1,10,2.0,60.0,4,0.0
29,1,10,3.0,60.0,4,0.0
30,2,10,2.0,50.0,4,16.67
31,1,10,0.0,50.0,4,16.67
32,1,10,0.0,50.0,4,16.67
33,1,10,0.0,50.0,4,16.67
34,1,10,0.0,40.0,5,20.0
35,1,10,0.0,40.0,5,20.0
36,1,10,0.0,50.0,4,16.67
37,1,10,0.0,60.0,3,14.29
38,1,10,0.0,70.0,3,0.0
39,1,10,0.0,60.0,3,14.29
40,1,10,0.0,60.0,3,14.29
41,1,10,0.0,60.0,3,14.29
42,1,10,0.0,60.0,3,14.29
43,2,10,0.5,60.0,4,0.0
44,3,10,1.33,60.0,4,0.0
45,3,10,2.33,60.0,4,0.0
46,4,10,2.75,60.0,4,0.0
47,3,10,1.67,40.0,4,33.33
48,3,10,0.33,30.0,4,50.0
49,4,10,0.5,30.0,4,50.0
50,2,10,1.5,50.0,4,16.67
51,3,10,1.67,50.0,5,0.0
52,3,10,2.67,50.0,5,0.0
53,3,10,3.0,50.0,5,0.0
54,2,10,2.5,40.0,5,20.0
55,1,10,3.0,50.0,5,0.0
56,0,10,0,50.0,5,0.0
57,0,10,0,50.0,5,0.0
58,0,10,0,50.0,5,0.0
59,1,10,1.0,50.0,5,0.0
60,1,10,2.0,50.0,5,0.0
61,1,10,0.0,40.0,5,20.0
62,1,10,0.0,40.0,5,20.0
63,0,10,0,60.0,4,0.0
64,0,10,0,60.0,4,0.0
65,0,10,0,60.0,4,0.0
66,0,10,0,60.0,4,0.0
67,1,10,1.0,70.0,3,0.0
68,1,10,2.0,70.0,3,0.0
69,1,10,3.0,70.0,3,0.0
70,2,10,2.5,70.0,3,0.0
71,3,10,2.33,60.0,3,14.29
72,3,10,3.0,70.0,2,12.5
73,1,10,4.0,70.0,3,0.0
74,2,10,3.0,70.0,3,0.0
75,2,10,3.5,60.0,3,14.29
76,2,10,4.0,60.0,4,0.0
77,3,10,3.0,40.0,4,33.33
78,3,10,3.33,40.0,4,33.33
79,1,10,3.0,50.0,4,16.67
80,2,10,1.5,50.0,3,28.57
81,2,10,1.5,50.0,5,0.0
82,3,10,1.67,40.0,5,20.0
83,2,10,1.0,40.0,5,20.0
84,2,10,1.5,50.0,4,16.67
85,3,10,1.33,40.0,4,33.33
86,2,10,1.5,50.0,5,0.0
87,1,10,3.0,50.0,5,0.0
88,2,10,2.5,50.0,5,0.0
89,2,10,3.5,50.0,5,0.0
90,2,10,4.0,40.0,5,20.0
91,2,10,4.5,40.0,5,20.0
92,1,10,8.0,50.0,5,0.0
93,1,10,1.0,50.0,5,0.0
94,1,10,2.0,50.0,5,0.0
95,1,10,1.0,50.0,5,0.0
96,1,10,1.0,40.0,5,20.0
97,1,10,1.0,40.0,5,20.0
98,2,10,1.0,40.0,5,20.0
99,2,10,1.5,40.0,5,20.0
100,2,10,2.0,40.0,6,0.0
101,2,10,2.5,30.0,7,0.0
102,0,10,0,40.0,6,0.0
103,0,10,0,40.0,6,0.0
104,1,10,0.0,30.0,6,25.0
105,2,10,0.5,40.0,5,20.0
106,2,10,1.0,40.0,6,0.0
107,2,10,1.5,30.0,6,25.0
108,2,10,2.0,30.0,6,25.0
109,2,10,0.5,30.0,6,25.0
110,2,10,1.0,50.0,4,16.67
111,1,10,3.0,50.0,5,0.0
112,2,10,2.5,50.0,5,0.0
113,2,10,3.0,40.0,5,20.0
114,1,10,5.0,40.0,5,20.0
115,1,10,5.0,50.0,4,16.67
116,1,10,1.0,60.0,4,0.0
117,0,10,0,60.0,4,0.0
118,0,10,0,60.0,4,0.0
119,1,10,1.0,60.0,4,0.0
120,2,10,1.5,60.0,4,0.0
121,2,10,2.5,60.0,4,0.0
122,2,10,3.5,60.0,4,0.0
123,2,10,4.0,50.0,4,16.67
124,1,10,4.0,50.0,5,0.0
125,1,10,4.0,40.0,5,20.0
126,1,10,4.0,40.0,5,20.0
127,1,10,1.0,50.0,5,0.0
128,1,10,2.0,50.0,5,0.0
129,1,10,3.0,60.0,4,0.0
130,1,10,3.0,60.0,3,14.29
131,0,10,0,70.0,3,0.0
132,0,10,0,70.0,3,0.0
