frame,users,vehicles,average_user_wait_time,vehicle_availability,vehicles_depleted,vehicle_utilization
0,0,10,0,100.0,0,0.0
1,0,10,0,100.0,0,0.0
2,1,10,1.0,100.0,0,0.0
3,1,10,2.0,100.0,0,0.0
4,1,10,3.0,100.0,0,0.0
5,1,10,3.0,90.0,0,10.0
6,1,10,1.0,100.0,0,0.0
7,1,10,2.0,100.0,0,0.0
8,1,10,3.0,100.0,0,0.0
9,1,10,4.0,100.0,0,0.0
10,1,10,5.0,100.0,0,0.0
11,1,10,6.0,100.0,0,0.0
12,0,10,0,100.0,0,0.0
13,0,10,0,100.0,0,0.0
14,0,10,0,100.0,0,0.0
15,0,10,0,100.0,0,0.0
16,0,10,0,100.0,0,0.0
17,0,10,0,100.0,0,0.0
18,0,10,0,100.0,0,0.0
19,0,10,0,100.0,0,0.0
20,0,10,0,100.0,0,0.0
21,0,10,0,100.0,0,0.0
22,1,10,1.0,100.0,0,0.0
23,1,10,2.0,100.0,0,0.0
24,1,10,3.0,100.0,0,0.0
25,2,10,2.0,90.0,0,10.0
26,2,10,1.5,80.0,0,20.0
27,2,10,1.5,80.0,0,20.0
28,2,10,1.5,80.0,0,20.0
29,2,10,1.5,80.0,1,11.11
30,2,10,2.0,80.0,2,0.0
31,2,10,3.0,80.0,2,0.0
32,1,10,2.0,80.0,2,0.0
33,1,10,3.0,80.0,2,0.0
34,1,10,3.0,70.0,2,12.5
35,0,10,0,80.0,2,0.0
36,0,10,0,80.0,2,0.0
37,0,10,0,80.0,2,0.0
38,0,10,0,80.0,2,0.0
39,0,10,0,80.0,2,0.0
40,0,10,0,80.0,2,0.0
41,0,10,0,80.0,2,0.0
42,0,10,0,80.0,2,0.0
43,1,10,0.0,70.0,2,12.5
44,1,10,0.0,70.0,2,12.5
45,1,10,1.0,70.0,3,0.0
46,2,10,1.5,70.0,3,0.0
47,3,10,2.0,70.0,3,0.0
48,3,10,3.0,70.0,3,0.0
49,4,10,3.0,60.0,3,14.29
50,3,10,3.0,50.0,3,28.57
51,2,10,4.5,60.0,3,14.29
52,1,10,4.0,60.0,3,14.29
53,0,10,0,60.0,4,0.0
54,1,10,1.0,60.0,4,0.0
55,1,10,2.0,60.0,4,0.0
56,1,10,3.0,60.0,4,0.0
57,1,10,4.0,60.0,4,0.0
58,1,10,5.0,70.0,3,0.0
59,1,10,6.0,80.0,2,0.0
60,1,10,6.0,70.0,2,12.5
61,1,10,6.0,70.0,2,12.5
62,0,10,0,80.0,2,0.0
63,0,10,0,80.0,2,0.0
64,0,10,0,80.0,2,0.0
65,1,10,1.0,80.0,2,0.0
66,1,10,2.0,80.0,2,0.0
67,1,10,2.0,70.0,2,12.5
68,0,10,0,80.0,2,0.0
69,0,10,0,80.0,2,0.0
70,0,10,0,80.0,2,0.0
71,0,10,0,80.0,2,0.0
72,1,10,1.0,80.0,2,0.0
73,1,10,2.0,80.0,2,0.0
74,1,10,3.0,90.0,1,0.0
75,1,10,4.0,90.0,1,0.0
76,0,10,0,90.0,1,0.0
77,1,10,0.0,80.0,1,11.11
78,1,10,0.0,80.0,1,11.11
79,2,10,0.5,80.0,1,11.11
80,1,10,2.0,90.0,1,0.0
81,1,10,2.0,80.0,1,11.11
82,1,10,2.0,90.0,0,10.0
83,1,10,2.0,90.0,0,10.0
84,1,10,2.0,90.0,0,10.0
85,1,10,2.0,90.0,1,0.0
86,1,10,2.0,80.0,1,11.11
87,0,10,0,90.0,1,0.0
88,1,10,1.0,90.0,1,0.0
89,1,10,2.0,90.0,1,0.0
90,1,10,3.0,90.0,1,0.0
91,1,10,4.0,90.0,1,0.0
92,1,10,5.0,90.0,1,0.0
93,1,10,1.0,90.0,1,0.0
94,1,10,1.0,80.0,1,11.11
95,2,10,1.0,80.0,2,0.0
96,1,10,2.0,80.0,2,0.0
97,1,10,3.0,80.0,2,0.0
98,1,10,0.0,70.0,2,12.5
99,1,10,0.0,70.0,2,12.5
100,1,10,0.0,70.0,3,0.0
101,2,10,0.5,60.0,3,14.29
102,3,10,1.0,60.0,3,14.29
103,3,10,1.67,60.0,3,14.29
